"industry";"gk1";"softvar";"rule";"name"
"107";"7";"S46";"if (S46 == 0) Echt.Arbeidskosten <= 1.32 * Echt.Lonen + 289.92";"S46_2"
"107";"7";"S47";"if (S47 == 0) Echt.Lonen >= 0.75 * Echt.Arbeidskosten + -153.54";"S47_1"
"107";"7";"S47";"if (S47 == 0) Echt.Lonen <= 0.81 * Echt.Arbeidskosten + 191.23";"S47_2"
"107";"7";"S48";"if (S48 == 0) Echt.Netto_Omzet_minus_accijnzen >= 1 * Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten + -197.25";"S48_1"
"107";"7";"S48";"if (S48 == 0) Echt.Netto_Omzet_minus_accijnzen <= 1.01 * Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten + 85.87";"S48_2"
"107";"7";"S49";"if (S49 == 0) Echt.Netto_Omzet_minus_accijnzen >= 0.98 * Echt.Productie_SFO + -776.13";"S49_1"
"107";"7";"S49";"if (S49 == 0) Echt.Netto_Omzet_minus_accijnzen <= 1.03 * Echt.Productie_SFO + 373.19";"S49_2"
"107";"7";"S50";"if (S50 == 0) Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten >= 0.99 * Echt.Netto_Omzet_minus_accijnzen + -75.44";"S50_1"
"107";"7";"S50";"if (S50 == 0) Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten <= 1 * Echt.Netto_Omzet_minus_accijnzen + 200.98";"S50_2"
"107";"7";"S51";"if (S51 == 0) Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten >= 0.97 * Echt.Productie_SFO + -728.7";"S51_1"
"107";"7";"S51";"if (S51 == 0) Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten <= 1.02 * Echt.Productie_SFO + 452.07";"S51_2"
"107";"7";"S52";"if (S52 == 0) Echt.Omzet_Industrieel_minus_accijnzen >= 0.89 * Echt.Netto_Omzet_minus_accijnzen + -1646.92";"S52_1"
"107";"7";"S52";"if (S52 == 0) Echt.Omzet_Industrieel_minus_accijnzen <= 1.02 * Echt.Netto_Omzet_minus_accijnzen + 1422.12";"S52_2"
"107";"7";"S53";"if (S53 == 0) Echt.Omzet_Industrieel_minus_accijnzen >= 0.9 * Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten + -1706.3";"S53_1"
"107";"7";"S53";"if (S53 == 0) Echt.Omzet_Industrieel_minus_accijnzen <= 1.03 * Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten + 1390.64";"S53_2"
"107";"7";"S54";"if (S54 == 0) Echt.Omzet_Industrieel_minus_accijnzen >= 0.9 * Echt.Productie_SFO + -1916.84";"S54_1"
"107";"7";"S54";"if (S54 == 0) Echt.Omzet_Industrieel_minus_accijnzen <= 1.03 * Echt.Productie_SFO + 1299.16";"S54_2"
"107";"7";"S55";"if (S55 == 0) Echt.Omzet_Zelfvervaardigd_Nederland_minus_accijnzen_minus_doorberekende_vrachtkosten >= 0.77 * Echt.Netto_Omzet_minus_accijnzen + -1661.88";"S55_1"
"107";"7";"S55";"if (S55 == 0) Echt.Omzet_Zelfvervaardigd_Nederland_minus_accijnzen_minus_doorberekende_vrachtkosten <= 0.96 * Echt.Netto_Omzet_minus_accijnzen + 2936.98";"S55_2"
"107";"7";"S56";"if (S56 == 0) Echt.Omzet_Zelfvervaardigd_Nederland_minus_accijnzen_minus_doorberekende_vrachtkosten >= 0.78 * Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten + -1700.11";"S56_1"
"107";"7";"S56";"if (S56 == 0) Echt.Omzet_Zelfvervaardigd_Nederland_minus_accijnzen_minus_doorberekende_vrachtkosten <= 0.96 * Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten + 2895.15";"S56_2"
"107";"7";"S57";"if (S57 == 0) Echt.Omzet_Zelfvervaardigd_Nederland_minus_accijnzen_minus_doorberekende_vrachtkosten >= 0.83 * Echt.Omzet_Industrieel_minus_accijnzen + -1049.56";"S57_1"
"107";"7";"S57";"if (S57 == 0) Echt.Omzet_Zelfvervaardigd_Nederland_minus_accijnzen_minus_doorberekende_vrachtkosten <= 0.98 * Echt.Omzet_Industrieel_minus_accijnzen + 2571.09";"S57_2"
"107";"7";"S58";"if (S58 == 0) Echt.Omzet_Zelfvervaardigd_Nederland_minus_accijnzen_minus_doorberekende_vrachtkosten >= 0.78 * Echt.Productie_SFO + -1893.1";"S58_1"
"107";"7";"S58";"if (S58 == 0) Echt.Omzet_Zelfvervaardigd_Nederland_minus_accijnzen_minus_doorberekende_vrachtkosten <= 0.96 * Echt.Productie_SFO + 2776.55";"S58_2"
"107";"7";"S59";"if (S59 == 0) Echt.Productie_SFO >= 0.97 * Echt.Netto_Omzet_minus_accijnzen + -545.9";"S59_1"
"107";"7";"S59";"if (S59 == 0) Echt.Productie_SFO <= 1.03 * Echt.Netto_Omzet_minus_accijnzen + 965.27";"S59_2"
"107";"7";"S60";"if (S60 == 0) Echt.Productie_SFO >= 0.97 * Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten + -614.13";"S60_1"
"107";"7";"S60";"if (S60 == 0) Echt.Productie_SFO <= 1.03 * Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten + 921.79";"S60_2"
"412";"4";"S61";"if (S61 == 0) Echt.Arbeidskosten >= 0.93 * Echt.Lonen + -18.35";"S61_1"
"412";"4";"S61";"if (S61 == 0) Echt.Arbeidskosten <= 1.78 * Echt.Lonen + 25.62";"S61_2"
"412";"4";"S62";"if (S62 == 0) Echt.Netto_Omzet_minus_accijnzen >= 1 * Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten + -21.46";"S62_1"
"412";"4";"S62";"if (S62 == 0) Echt.Netto_Omzet_minus_accijnzen <= 1.01 * Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten + 21.7";"S62_2"
"412";"4";"S63";"if (S63 == 0) Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten >= 0.99 * Echt.Netto_Omzet_minus_accijnzen + -21.29";"S63_1"
"412";"4";"S63";"if (S63 == 0) Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten <= 1 * Echt.Netto_Omzet_minus_accijnzen + 21.07";"S63_2"
"412";"5";"S64";"if (S64 == 0) Echt.Arbeidskosten >= 1.16 * Echt.Lonen + -165.87";"S64_1"
"412";"5";"S64";"if (S64 == 0) Echt.Arbeidskosten <= 1.51 * Echt.Lonen + 201.05";"S64_2"
"412";"5";"S65";"if (S65 == 0) Echt.Netto_Omzet_minus_accijnzen >= 1 * Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten + -34.97";"S65_1"
"412";"5";"S65";"if (S65 == 0) Echt.Netto_Omzet_minus_accijnzen <= 1 * Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten + 35.93";"S65_2"
"412";"5";"S66";"if (S66 == 0) Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten >= 1 * Echt.Netto_Omzet_minus_accijnzen + -35.27";"S66_1"
"412";"5";"S66";"if (S66 == 0) Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten <= 1 * Echt.Netto_Omzet_minus_accijnzen + 34.33";"S66_2"
"412";"6";"S67";"if (S67 == 0) Echt.Arbeidskosten >= 1.19 * Echt.Lonen + -212.2";"S67_1"
"412";"6";"S67";"if (S67 == 0) Echt.Arbeidskosten <= 1.41 * Echt.Lonen + 387.31";"S67_2"
"412";"6";"S68";"if (S68 == 0) Echt.Netto_Omzet_minus_accijnzen >= 1 * Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten + -1.04";"S68_1"
"412";"6";"S68";"if (S68 == 0) Echt.Netto_Omzet_minus_accijnzen <= 1 * Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten + 1.19";"S68_2"
"412";"6";"S69";"if (S69 == 0) Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten >= 1 * Echt.Netto_Omzet_minus_accijnzen + -1.16";"S69_1"
"412";"6";"S69";"if (S69 == 0) Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten <= 1 * Echt.Netto_Omzet_minus_accijnzen + 1.03";"S69_2"
"412";"7";"S70";"if (S70 == 0) Echt.Arbeidskosten >= 1.16 * Echt.Lonen + -29.88";"S70_1"
"412";"7";"S70";"if (S70 == 0) Echt.Arbeidskosten <= 1.32 * Echt.Lonen + 842.66";"S70_2"
"412";"7";"S71";"if (S71 == 0) Echt.Netto_Omzet_minus_accijnzen >= 1 * Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten + -68.58";"S71_1"
"412";"7";"S71";"if (S71 == 0) Echt.Netto_Omzet_minus_accijnzen <= 1 * Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten + 92.39";"S71_2"
"412";"7";"S72";"if (S72 == 0) Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten >= 1 * Echt.Netto_Omzet_minus_accijnzen + -90.82";"S72_1"
"412";"7";"S72";"if (S72 == 0) Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten <= 1 * Echt.Netto_Omzet_minus_accijnzen + 67.24";"S72_2"
