"name";"rule"
"Omzet_Industriele_Diensten_bp";"PCM.Omzet_Industriele_Diensten <= 1.05 * Echt.Omzet_Industriele_Diensten + 50"
"Werknemers_in_vte_Gemiddeld_bp";"SFGO.Werknemers_in_vte_Gemiddeld <= 1.05 * Echt.Werknemers_in_vte_Gemiddeld + 2"
"Productie_SFO_bp";"SFGO.Productie_SFO <= 1.05 * Echt.Productie_SFO + 50"
"Subsidies_bp";"SFGO.Subsidies <= 1.05 * Echt.Subsidies + 50"
"Afschrijvingen_excl_die_op_operational_lease_bp";"SFGO.Afschrijvingen_excl_die_op_operational_lease <= 1.05 * Echt.Afschrijvingen_excl_die_op_operational_lease + 50"
"Afschrijvingen_op_operational_Lease_bp";"SFGO.Afschrijvingen_op_operational_Lease <= 1.05 * Echt.Afschrijvingen_op_operational_Lease + 50"
"Arbeidskosten_bp";"SFGO.Arbeidskosten <= 1.05 * Echt.Arbeidskosten + 50"
"Import_bp";"SFGO.Import <= 1.05 * Echt.Import + 50"
"Export_bp";"SFGO.Export <= 1.05 * Echt.Export + 50"
"Investeringen_materiele_vaste_activa_INIVA_SFGO_bp";"SFGO.Investeringen_materiele_vaste_activa_INIVA_SFGO <= 1.05 * Echt.Investeringen_materiele_vaste_activa_INIVA_SFGO + 50"
"Investeringen_immateriele_vaste_activa_INIVA_SFGO_bp";"SFGO.Investeringen_immateriele_vaste_activa_INIVA_SFGO <= 1.05 * Echt.Investeringen_immateriele_vaste_activa_INIVA_SFGO + 50"
"Investeringen_op_lease_INIVA_SFGO_bp";"SFGO.Investeringen_op_lease_INIVA_SFGO <= 1.05 * Echt.Investeringen_op_lease_INIVA_SFGO + 50"
"Netto_Omzet_minus_accijnzen_bp";"DRT.Netto_Omzet_minus_accijnzen <= 1.05 * Echt.Netto_Omzet_minus_accijnzen + 50"
"Netto_Omzet_minus_accijnzen_bp";"KICR.Netto_Omzet_minus_accijnzen <= 1.05 * Echt.Netto_Omzet_minus_accijnzen + 50"
"Omzet_Industrieel_minus_accijnzen_bp";"KICR.Omzet_Industrieel_minus_accijnzen <= 1.05 * Echt.Omzet_Industrieel_minus_accijnzen + 50"
"Omzet_Handel_en_Overig_bp";"KICR.Omzet_Handel_en_Overig <= 1.05 * Echt.Omzet_Handel_en_Overig + 50"
"Werknemers_in_vte_Gemiddeld_bp";"SWL.Werknemers_in_vte_Gemiddeld <= 1.05 * Echt.Werknemers_in_vte_Gemiddeld + 2"
"Lonen_bp";"SWL.Lonen <= 1.05 * Echt.Lonen + 50"
"Import_bp";"IH.Import <= 1.05 * Echt.Import + 50"
"Export_bp";"IH.Export <= 1.05 * Echt.Export + 50"
"Netto_Omzet_minus_accijnzen_bp";"WIA.Netto_Omzet_minus_accijnzen <= 1.05 * Echt.Netto_Omzet_minus_accijnzen + 50"
"Arbeidskosten_bp";"WIA.Arbeidskosten <= 1.05 * Echt.Arbeidskosten + 50"
"Lonen_bp";"WIA.Lonen <= 1.05 * Echt.Lonen + 50"
